date,crop_name,region,demand_kg
2024-01-01,tomato,Tirunelveli,468.3
2024-01-01,tomato,Madurai,417.3
2024-01-01,tomato,Nagercoil,452.1
2024-01-01,tomato,Tuticorin,428.8
2024-01-01,tomato,Tenkasi,475.6
2024-01-01,brinjal,Tirunelveli,276.3
2024-01-01,brinjal,Madurai,300.2
2024-01-01,brinjal,Nagercoil,259.8
2024-01-01,brinjal,Tuticorin,250.0
2024-01-01,brinjal,Tenkasi,270.3
2024-01-01,onion,Tirunelveli,390.3
2024-01-01,onion,Madurai,374.8
2024-01-01,onion,Nagercoil,400.2
2024-01-01,onion,Tuticorin,380.8
2024-01-01,onion,Tenkasi,343.4
2024-01-01,carrot,Tirunelveli,231.1
2024-01-01,carrot,Madurai,202.3
2024-01-01,carrot,Nagercoil,212.8
2024-01-01,carrot,Tuticorin,251.1
2024-01-01,carrot,Tenkasi,255.5
2024-01-01,cabbage,Tirunelveli,186.5
2024-01-01,cabbage,Madurai,209.6
2024-01-01,cabbage,Nagercoil,187.0
2024-01-01,cabbage,Tuticorin,192.3
2024-01-01,cabbage,Tenkasi,185.9
2024-01-01,potato,Tirunelveli,295.5
2024-01-01,potato,Madurai,331.9
2024-01-01,potato,Nagercoil,335.8
2024-01-01,potato,Tuticorin,316.6
2024-01-01,potato,Tenkasi,351.8
2024-01-01,beans,Tirunelveli,156.3
2024-01-01,beans,Madurai,152.3
2024-01-01,beans,Nagercoil,175.5
2024-01-01,beans,Tuticorin,134.1
2024-01-01,beans,Tenkasi,183.1
2024-01-01,okra,Tirunelveli,234.0
2024-01-01,okra,Madurai,261.8
2024-01-01,okra,Nagercoil,267.8
2024-01-01,okra,Tuticorin,254.8
2024-01-01,okra,Tenkasi,225.8
2024-01-02,tomato,Tirunelveli,415.0
2024-01-02,tomato,Madurai,411.3
2024-01-02,tomato,Nagercoil,462.1
2024-01-02,tomato,Tuticorin,437.3
2024-01-02,tomato,Tenkasi,428.0
2024-01-02,brinjal,Tirunelveli,272.4
2024-01-02,brinjal,Madurai,296.6
2024-01-02,brinjal,Nagercoil,290.6
2024-01-02,brinjal,Tuticorin,283.8
2024-01-02,brinjal,Tenkasi,287.8
2024-01-02,onion,Tirunelveli,388.6
2024-01-02,onion,Madurai,391.0
2024-01-02,onion,Nagercoil,389.4
2024-01-02,onion,Tuticorin,385.0
2024-01-02,onion,Tenkasi,400.1
2024-01-02,carrot,Tirunelveli,227.2
2024-01-02,carrot,Madurai,202.4
2024-01-02,carrot,Nagercoil,230.6
2024-01-02,carrot,Tuticorin,224.9
2024-01-02,carrot,Tenkasi,232.2
2024-01-02,cabbage,Tirunelveli,195.9
2024-01-02,cabbage,Madurai,214.2
2024-01-02,cabbage,Nagercoil,196.8
2024-01-02,cabbage,Tuticorin,212.5
2024-01-02,cabbage,Tenkasi,188.9
2024-01-02,potato,Tirunelveli,322.3
2024-01-02,potato,Madurai,342.0
2024-01-02,potato,Nagercoil,323.4
2024-01-02,potato,Tuticorin,374.1
2024-01-02,potato,Tenkasi,341.3
2024-01-02,beans,Tirunelveli,165.5
2024-01-02,beans,Madurai,181.4
2024-01-02,beans,Nagercoil,155.4
2024-01-02,beans,Tuticorin,183.5
2024-01-02,beans,Tenkasi,182.9
2024-01-02,okra,Tirunelveli,267.1
2024-01-02,okra,Madurai,233.2
2024-01-02,okra,Nagercoil,217.5
2024-01-02,okra,Tuticorin,229.8
2024-01-02,okra,Tenkasi,236.4
2024-01-03,tomato,Tirunelveli,473.3
2024-01-03,tomato,Madurai,483.9
2024-01-03,tomato,Nagercoil,446.9
2024-01-03,tomato,Tuticorin,440.2
2024-01-03,tomato,Tenkasi,433.0
2024-01-03,brinjal,Tirunelveli,291.5
2024-01-03,brinjal,Madurai,318.8
2024-01-03,brinjal,Nagercoil,310.7
2024-01-03,brinjal,Tuticorin,297.8
2024-01-03,brinjal,Tenkasi,297.5
2024-01-03,onion,Tirunelveli,401.6
2024-01-03,onion,Madurai,384.1
2024-01-03,onion,Nagercoil,370.3
2024-01-03,onion,Tuticorin,384.6
2024-01-03,onion,Tenkasi,393.4
2024-01-03,carrot,Tirunelveli,190.9
2024-01-03,carrot,Madurai,216.9
2024-01-03,carrot,Nagercoil,203.5
2024-01-03,carrot,Tuticorin,240.3
2024-01-03,carrot,Tenkasi,209.0
2024-01-03,cabbage,Tirunelveli,204.6
2024-01-03,cabbage,Madurai,184.0
2024-01-03,cabbage,Nagercoil,230.0
2024-01-03,cabbage,Tuticorin,164.0
2024-01-03,cabbage,Tenkasi,207.5
2024-01-03,potato,Tirunelveli,304.5
2024-01-03,potato,Madurai,319.8
2024-01-03,potato,Nagercoil,334.1
2024-01-03,potato,Tuticorin,335.1
2024-01-03,potato,Tenkasi,334.6
2024-01-03,beans,Tirunelveli,168.0
2024-01-03,beans,Madurai,152.2
2024-01-03,beans,Nagercoil,161.7
2024-01-03,beans,Tuticorin,165.6
2024-01-03,beans,Tenkasi,168.9
2024-01-03,okra,Tirunelveli,240.7
2024-01-03,okra,Madurai,256.6
2024-01-03,okra,Nagercoil,243.9
