date,crop_name,region,month,demand_index,price_per_kg
2024-01-01,tomato,Tirunelveli,1,0.99,24.87
2024-01-01,tomato,Madurai,1,0.88,24.07
2024-01-01,tomato,Nagercoil,1,0.83,22.7
2024-01-01,tomato,Tuticorin,1,1.15,32.53
2024-01-01,tomato,Tenkasi,1,0.81,20.91
2024-01-01,brinjal,Tirunelveli,1,0.89,20.3
2024-01-01,brinjal,Madurai,1,0.95,18.6
2024-01-01,brinjal,Nagercoil,1,0.95,23.79
2024-01-01,brinjal,Tuticorin,1,1.11,25.51
2024-01-01,brinjal,Tenkasi,1,0.98,22.14
2024-01-01,onion,Tirunelveli,1,1.03,32.21
2024-01-01,onion,Madurai,1,1.06,34.99
2024-01-01,onion,Nagercoil,1,1.1,35.54
2024-01-01,onion,Tuticorin,1,0.89,27.78
2024-01-01,onion,Tenkasi,1,0.83,25.95
2024-01-01,carrot,Tirunelveli,1,0.85,26.97
2024-01-01,carrot,Madurai,1,1.14,32.85
2024-01-01,carrot,Nagercoil,1,1.05,31.29
2024-01-01,carrot,Tuticorin,1,0.82,24.25
2024-01-01,carrot,Tenkasi,1,1.13,34.63
2024-01-01,cabbage,Tirunelveli,1,0.96,22.66
2024-01-01,cabbage,Madurai,1,0.89,19.06
2024-01-01,cabbage,Nagercoil,1,1.28,25.19
2024-01-01,cabbage,Tuticorin,1,1.26,25.72
2024-01-01,cabbage,Tenkasi,1,0.84,14.82
2024-01-01,potato,Tirunelveli,1,0.94,21.77
2024-01-01,potato,Madurai,1,1.21,29.31
2024-01-01,potato,Nagercoil,1,1.07,26.32
2024-01-01,potato,Tuticorin,1,0.87,23.33
2024-01-01,potato,Tenkasi,1,1.16,31.38
2024-01-01,beans,Tirunelveli,1,1.19,44.3
2024-01-01,beans,Madurai,1,0.86,31.34
2024-01-01,beans,Nagercoil,1,1.23,44.07
2024-01-01,beans,Tuticorin,1,0.83,32.95
2024-01-01,beans,Tenkasi,1,0.96,37.72
2024-01-01,okra,Tirunelveli,1,1.12,29.92
2024-01-01,okra,Madurai,1,1.24,33.2
2024-01-01,okra,Nagercoil,1,1.16,32.21
2024-01-01,okra,Tuticorin,1,1.18,35.24
2024-01-01,okra,Tenkasi,1,1.05,29.77
2024-01-02,tomato,Tirunelveli,1,1.06,27.93
2024-01-02,tomato,Madurai,1,0.85,22.86
2024-01-02,tomato,Nagercoil,1,0.82,19.79
2024-01-02,tomato,Tuticorin,1,1.05,29.9
2024-01-02,tomato,Tenkasi,1,1.25,32.89
2024-01-02,brinjal,Tirunelveli,1,1.18,25.61
2024-01-02,brinjal,Madurai,1,0.91,21.31
2024-01-02,brinjal,Nagercoil,1,0.88,20.19
2024-01-02,brinjal,Tuticorin,1,1.26,30.67
2024-01-02,brinjal,Tenkasi,1,1.24,30.96
2024-01-02,onion,Tirunelveli,1,1.2,40.82
2024-01-02,onion,Madurai,1,1.25,40.51
2024-01-02,onion,Nagercoil,1,0.96,30.54
2024-01-02,onion,Tuticorin,1,1.01,32.14
2024-01-02,onion,Tenkasi,1,1.21,35.01
2024-01-02,carrot,Tirunelveli,1,0.91,27.94
2024-01-02,carrot,Madurai,1,0.86,26.56
2024-01-02,carrot,Nagercoil,1,0.96,28.7
2024-01-02,carrot,Tuticorin,1,1.06,30.47
2024-01-02,carrot,Tenkasi,1,1.29,40.81
2024-01-02,cabbage,Tirunelveli,1,1.28,24.76
2024-01-02,cabbage,Madurai,1,0.95,15.88
2024-01-02,cabbage,Nagercoil,1,0.94,18.39
2024-01-02,cabbage,Tuticorin,1,1.05,19.69
2024-01-02,cabbage,Tenkasi,1,0.83,16.69
2024-01-02,potato,Tirunelveli,1,0.92,23.34
2024-01-02,potato,Madurai,1,0.87,23.02
